spacy_word	spacy_lemma	spacy_pos	spacy_tag	dependency	dependency_head	dependency_head_pos	dependency_children	text_id_numeric	text_id	sent_index_in_text
Ein	ein	DET	ART	nk	Zyklotron	NOUN	[]	6	p0	1
Zyklotron	Zyklotron	NOUN	NN	sb	besteht	VERB	[Ein]	6	p0	1
besteht	bestehen	VERB	VVFIN	ROOT	besteht	VERB	[Zyklotron, aus, .]	6	p0	1
aus	aus	ADP	APPR	op	besteht	VERB	[Vakuumkammer]	6	p0	1
einer	ein	DET	ART	nk	Vakuumkammer	NOUN	[]	6	p0	1
flachen	flach	ADJ	ADJA	nk	Vakuumkammer	NOUN	[zylindrischen]	6	p0	1
,	--	PUNCT	$,	punct	zylindrischen	VERB	[]	6	p0	1
zylindrischen	zylindrischen	VERB	ADJA	cj	flachen	ADJ	[,]	6	p0	1
Vakuumkammer	Vakuumkammer	NOUN	NN	nk	aus	ADP	[einer, flachen, zwischen]	6	p0	1
zwischen	zwischen	ADP	APPR	mnr	Vakuumkammer	NOUN	[Polen]	6	p0	1
den	der	DET	ART	nk	Polen	NOUN	[]	6	p0	1
Polen	Pole	NOUN	NN	nk	zwischen	ADP	[den, Elektromagneten]	6	p0	1
eines	ein	DET	ART	nk	Elektromagneten	NOUN	[]	6	p0	1
Elektromagneten	Elektromagnet	NOUN	NN	ag	Polen	NOUN	[eines, ,, erzeugt]	6	p0	1
,	--	PUNCT	$,	punct	Elektromagneten	NOUN	[]	6	p0	1
der	der	PRON	PRELS	sb	erzeugt	VERB	[]	6	p0	1
ein	ein	DET	ART	nk	Feld	NOUN	[]	6	p0	1
Feld	Feld	NOUN	NN	oa	erzeugt	VERB	[ein]	6	p0	1
in	in	ADP	APPR	mo	erzeugt	VERB	[z-Richtung]	6	p0	1
z-Richtung	z-Richtung	NOUN	NN	nk	in	ADP	[]	6	p0	1
erzeugt	erzeugen	VERB	VVFIN	rc	Elektromagneten	NOUN	[der, Feld, in]	6	p0	1
.	--	PUNCT	$.	punct	besteht	VERB	[]	6	p0	1
Die	der	DET	ART	nk	Kammer	NOUN	[]	6	p0	2
Kammer	Kammer	NOUN	NN	sb	ist	AUX	[Die]	6	p0	2
ist	sein	AUX	VAFIN	ROOT	ist	AUX	[Kammer, aufgeteilt, .]	6	p0	2
in	in	ADP	APPR	mo	aufgeteilt	VERB	[Hälften]	6	p0	2
zwei	zwei	NUM	CARD	nk	Hälften	NOUN	[]	6	p0	2
D-förmige	D-förmige	NUM	ADJA	nk	Hälften	NOUN	[]	6	p0	2
Hälften	Hälft	NOUN	NN	nk	in	ADP	[zwei, D-förmige, anliegt]	6	p0	2
aufgeteilt	aufteilen	VERB	VVPP	oc	ist	AUX	[in, ,]	6	p0	2
,	--	PUNCT	$,	punct	aufgeteilt	VERB	[]	6	p0	2
zwischen	zwischen	ADP	APPR	mo	anliegt	VERB	[denen]	6	p0	2
denen	der	PRON	PRELS	nk	zwischen	ADP	[]	6	p0	2
eine	ein	DET	ART	nk	Hochfrequenzspannung	NOUN	[]	6	p0	2
Hochfrequenzspannung	Hochfrequenzspannung	NOUN	NN	sb	anliegt	VERB	[eine]	6	p0	2
anliegt	anliegen	VERB	VVFIN	rc	Hälften	NOUN	[zwischen, Hochfrequenzspannung]	6	p0	2
.	--	PUNCT	$.	punct	ist	AUX	[]	6	p0	2
Die	der	DET	ART	nk	Ionen	NOUN	[]	6	p0	3
von	von	ADP	APPR	sbp	emittierten	ADJ	[Ionenquelle]	6	p0	3
der	der	DET	ART	nk	Ionenquelle	NOUN	[]	6	p0	3
Ionenquelle	Ionenquelle	NOUN	NN	nk	von	ADP	[der, im]	6	p0	3
im	in	ADP	APPRART	mnr	Ionenquelle	NOUN	[Spalt]	6	p0	3
Spalt	Spalt	NOUN	NN	nk	im	ADP	[zwischen, im]	6	p0	3
zwischen	zwischen	ADP	APPR	mnr	Spalt	NOUN	[Kammern]	6	p0	3
den	der	DET	ART	nk	Kammern	NOUN	[]	6	p0	3
Kammern	Kammer	NOUN	NN	nk	zwischen	ADP	[den]	6	p0	3
im	in	ADP	APPRART	mnr	Spalt	NOUN	[Zentrum]	6	p0	3
Zentrum	Zentrum	NOUN	NN	nk	im	ADP	[Anordnung]	6	p0	3
der	der	DET	ART	nk	Anordnung	NOUN	[]	6	p0	3
Anordnung	Anordnung	NOUN	NN	ag	Zentrum	NOUN	[der]	6	p0	3
emittierten	emittiert	ADJ	ADJA	nk	Ionen	NOUN	[von]	6	p0	3
positiven	positiv	ADJ	ADJA	nk	Ionen	NOUN	[]	6	p0	3
Ionen	Ione	NOUN	NN	sb	werden	AUX	[Die, emittierten, positiven]	6	p0	3
werden	werden	AUX	VAFIN	ROOT	werden	AUX	[Ionen, beschleunigt, .]	6	p0	3
auf	auf	ADP	APPR	mo	beschleunigt	VERB	[Kammerhälfte]	6	p0	3
die	der	DET	ART	nk	Kammerhälfte	NOUN	[]	6	p0	3
negative	negativ	ADJ	ADJA	nk	Kammerhälfte	NOUN	[]	6	p0	3
Kammerhälfte	Kammerhälfte	NOUN	NN	nk	auf	ADP	[die, negative]	6	p0	3
zu	zu	PART	PTKZU	pm	beschleunigt	VERB	[]	6	p0	3
beschleunigt	beschleunigen	VERB	VVINF	oc	werden	AUX	[auf, zu]	6	p0	3
.	--	PUNCT	$.	punct	werden	AUX	[]	6	p0	3
Da	da	SCONJ	KOUS	cp	existiert	VERB	[]	6	p0	4
im	in	ADP	APPRART	mo	existiert	VERB	[Inneren]	6	p0	4
Inneren	innere	NOUN	NN	nk	im	ADP	[Kammerhälften]	6	p0	4
der	der	DET	ART	nk	Kammerhälften	NOUN	[]	6	p0	4
Kammerhälften	Kammerhälft	NOUN	NN	ag	Inneren	NOUN	[der]	6	p0	4
mit	mit	ADP	APPR	mo	existiert	VERB	[Wänden]	6	p0	4
metallischen	metallisch	ADJ	ADJA	nk	Wänden	NOUN	[]	6	p0	4
Wänden	Wand	NOUN	NN	nk	mit	ADP	[metallischen]	6	p0	4
kein	kein	DET	PIAT	nk	Feld	NOUN	[]	6	p0	4
elektrisches	elektrisch	ADJ	ADJA	nk	Feld	NOUN	[]	6	p0	4
Feld	Feld	NOUN	NN	sb	existiert	VERB	[kein, elektrisches]	6	p0	4
existiert	existieren	VERB	VVFIN	mo	beschreiben	VERB	[Da, im, mit, Feld]	6	p0	4
,	--	PUNCT	$,	punct	beschreiben	VERB	[]	6	p0	4
beschreiben	beschreiben	VERB	VVFIN	ROOT	beschreiben	VERB	[existiert, ,, Ionen, hier, im, Halbkreis, .]	6	p0	4
die	der	DET	ART	nk	Ionen	NOUN	[]	6	p0	4
Ionen	Ione	NOUN	NN	sb	beschreiben	VERB	[die]	6	p0	4
hier	hier	ADV	ADV	mo	beschreiben	VERB	[]	6	p0	4
