spacy_word	spacy_lemma	spacy_pos	spacy_tag	dependency	dependency_head	dependency_head_pos	dependency_children	text_id_numeric	text_id	sent_index_in_text	manually_corrected
Ein	ein	DET	ART	nk	Zyklotron	NOUN	[]	6	p0	1	False
Zyklotron	Zyklotron	NOUN	NN	sb	besteht	VERB	[Ein]	6	p0	1	False
besteht	bestehen	VERB	VVFIN	ROOT	besteht	VERB	[Zyklotron, aus, .]	6	p0	1	False
aus	aus	ADP	APPR	op	besteht	VERB	[Vakuumkammer]	6	p0	1	False
einer	ein	DET	ART	nk	Vakuumkammer	NOUN	[]	6	p0	1	False
flachen	flach	ADJ	ADJA	nk	Vakuumkammer	NOUN	[zylindrischen]	6	p0	1	False
,	--	PUNCT	$,	punct	zylindrischen	VERB	[]	6	p0	1	False
zylindrischen	zylindrischen	VERB	ADJA	cj	flachen	ADJ	[,]	6	p0	1	False
Vakuumkammer	Vakuumkammer	NOUN	NN	nk	aus	ADP	[einer, flachen, zwischen]	6	p0	1	False
zwischen	zwischen	ADP	APPR	mnr	Vakuumkammer	NOUN	[Polen]	6	p0	1	False
den	der	DET	ART	nk	Polen	NOUN	[]	6	p0	1	False
Polen	Pole	NOUN	NN	nk	zwischen	ADP	[den, Elektromagneten]	6	p0	1	False
eines	ein	DET	ART	nk	Elektromagneten	NOUN	[]	6	p0	1	False
Elektromagneten	Elektromagnet	NOUN	NN	ag	Polen	NOUN	[eines, ,, erzeugt]	6	p0	1	False
,	--	PUNCT	$,	punct	Elektromagneten	NOUN	[]	6	p0	1	False
der	der	PRON	PRELS	sb	erzeugt	VERB	[]	6	p0	1	False
ein	ein	DET	ART	nk	Feld	NOUN	[]	6	p0	1	False
Feld	Feld	NOUN	NN	oa	erzeugt	VERB	[ein]	6	p0	1	False
in	in	ADP	APPR	mo	erzeugt	VERB	[z-Richtung]	6	p0	1	False
z-Richtung	z-Richtung	NOUN	NN	nk	in	ADP	[]	6	p0	1	False
erzeugt	erzeugen	VERB	VVFIN	rc	Elektromagneten	NOUN	[der, Feld, in]	6	p0	1	False
.	--	PUNCT	$.	punct	besteht	VERB	[]	6	p0	1	False
Die	der	DET	ART	nk	Kammer	NOUN	[]	6	p0	2	False
Kammer	Kammer	NOUN	NN	sb	ist	AUX	[Die]	6	p0	2	False
ist	sein	AUX	VAFIN	ROOT	ist	AUX	[Kammer, aufgeteilt, .]	6	p0	2	False
in	in	ADP	APPR	mo	aufgeteilt	VERB	[Hälften]	6	p0	2	False
zwei	zwei	NUM	CARD	nk	Hälften	NOUN	[]	6	p0	2	False
D-förmige	D-förmige	NUM	ADJA	nk	Hälften	NOUN	[]	6	p0	2	False
Hälften	Hälft	NOUN	NN	nk	in	ADP	[zwei, D-förmige, anliegt]	6	p0	2	False
aufgeteilt	aufteilen	VERB	VVPP	oc	ist	AUX	[in, ,]	6	p0	2	False
,	--	PUNCT	$,	punct	aufgeteilt	VERB	[]	6	p0	2	False
zwischen	zwischen	ADP	APPR	mo	anliegt	VERB	[denen]	6	p0	2	False
denen	der	PRON	PRELS	nk	zwischen	ADP	[]	6	p0	2	False
eine	ein	DET	ART	nk	Hochfrequenzspannung	NOUN	[]	6	p0	2	False
Hochfrequenzspannung	Hochfrequenzspannung	NOUN	NN	sb	anliegt	VERB	[eine]	6	p0	2	False
anliegt	anliegen	VERB	VVFIN	rc	Hälften	NOUN	[zwischen, Hochfrequenzspannung]	6	p0	2	False
.	--	PUNCT	$.	punct	ist	AUX	[]	6	p0	2	False
Die	der	DET	ART	nk	Ionen	NOUN	[]	6	p0	3	False
von	von	ADP	APPR	sbp	emittierten	ADJ	[Ionenquelle]	6	p0	3	False
der	der	DET	ART	nk	Ionenquelle	NOUN	[]	6	p0	3	False
Ionenquelle	Ionenquelle	NOUN	NN	nk	von	ADP	[der, im]	6	p0	3	False
im	in	ADP	APPRART	mnr	Ionenquelle	NOUN	[Spalt]	6	p0	3	False
Spalt	Spalt	NOUN	NN	nk	im	ADP	[zwischen, im]	6	p0	3	False
zwischen	zwischen	ADP	APPR	mnr	Spalt	NOUN	[Kammern]	6	p0	3	False
den	der	DET	ART	nk	Kammern	NOUN	[]	6	p0	3	False
Kammern	Kammer	NOUN	NN	nk	zwischen	ADP	[den]	6	p0	3	False
im	in	ADP	APPRART	mnr	Spalt	NOUN	[Zentrum]	6	p0	3	False
Zentrum	Zentrum	NOUN	NN	nk	im	ADP	[Anordnung]	6	p0	3	False
der	der	DET	ART	nk	Anordnung	NOUN	[]	6	p0	3	False
Anordnung	Anordnung	NOUN	NN	ag	Zentrum	NOUN	[der]	6	p0	3	False
emittierten	emittiert	ADJ	ADJA	nk	Ionen	NOUN	[von]	6	p0	3	False
positiven	positiv	ADJ	ADJA	nk	Ionen	NOUN	[]	6	p0	3	False
Ionen	Ione	NOUN	NN	sb	werden	AUX	[Die, emittierten, positiven]	6	p0	3	False
werden	werden	AUX	VAFIN	ROOT	werden	AUX	[Ionen, beschleunigt, .]	6	p0	3	False
auf	auf	ADP	APPR	mo	beschleunigt	VERB	[Kammerhälfte, zu]	6	p0	3	True
die	der	DET	ART	nk	Kammerhälfte	NOUN	[]	6	p0	3	False
negative	negativ	ADJ	ADJA	nk	Kammerhälfte	NOUN	[]	6	p0	3	False
Kammerhälfte	Kammerhälfte	NOUN	NN	nk	auf	ADP	[die, negative]	6	p0	3	False
zu	zu	PART	PTKZU	ac	auf	ADP	[]	6	p0	3	True
beschleunigt	beschleunigen	VERB	VVINF	oc	werden	AUX	[auf]	6	p0	3	True
.	--	PUNCT	$.	punct	werden	AUX	[]	6	p0	3	False
Da	da	SCONJ	KOUS	cp	existiert	VERB	[]	6	p0	4	False
im	in	ADP	APPRART	mo	existiert	VERB	[Inneren]	6	p0	4	False
Inneren	innere	NOUN	NN	nk	im	ADP	[Kammerhälften]	6	p0	4	False
der	der	DET	ART	nk	Kammerhälften	NOUN	[]	6	p0	4	False
Kammerhälften	Kammerhälft	NOUN	NN	ag	Inneren	NOUN	[der, mit]	6	p0	4	False
mit	mit	ADP	APPR	mnr	Kammerhälften	NOUN	[Wänden]	6	p0	4	True
metallischen	metallisch	ADJ	ADJA	nk	Wänden	NOUN	[]	6	p0	4	False
Wänden	Wand	NOUN	NN	nk	mit	ADP	[metallischen]	6	p0	4	False
kein	kein	DET	PIAT	nk	Feld	NOUN	[]	6	p0	4	False
elektrisches	elektrisch	ADJ	ADJA	nk	Feld	NOUN	[]	6	p0	4	False
Feld	Feld	NOUN	NN	sb	existiert	VERB	[kein, elektrisches]	6	p0	4	False
existiert	existieren	VERB	VVFIN	mo	beschreiben	VERB	[Da, im, mit, Feld]	6	p0	4	False
,	--	PUNCT	$,	punct	beschreiben	VERB	[]	6	p0	4	False
beschreiben	beschreiben	VERB	VVFIN	ROOT	beschreiben	VERB	[existiert, ,, Ionen, hier, im, Halbkreis, .]	6	p0	4	False
die	der	DET	ART	nk	Ionen	NOUN	[]	6	p0	4	False
Ionen	Ione	NOUN	NN	sb	beschreiben	VERB	[die]	6	p0	4	False
hier	hier	ADV	ADV	mo	beschreiben	VERB	[]	6	p0	4	False
im	in	ADP	APPRART	mo	beschreiben	VERB	[Magnetfeld]	6	p0	4	False
Magnetfeld	Magnetfeld	NOUN	NN	nk	im	ADP	[]	6	p0	4	False
einen	ein	DET	ART	nk	Halbkreis	NOUN	[]	6	p0	4	False
Halbkreis	Halbkreis	NOUN	NN	oa	beschreiben	VERB	[einen, in, und]	6	p0	4	False
in	in	ADP	APPR	mnr	Halbkreis	NOUN	[x-y-Ebene]	6	p0	4	False
der	der	DET	ART	nk	x-y-Ebene	PROPN	[]	6	p0	4	False
x-y-Ebene	x-y-Ebene	PROPN	NN	nk	in	ADP	[der, ,, festgelegt]	6	p0	4	False
,	--	PUNCT	$,	punct	x-y-Ebene	PROPN	[]	6	p0	4	False
dessen	dessen	DET	PRELAT	ag	Radius	NOUN	[]	6	p0	4	False
Radius	Radius	NOUN	NN	sb	festgelegt	VERB	[dessen]	6	p0	4	False
durch	durch	ADP	APPR	mo	festgelegt	VERB	[Lorentzkraft]	6	p0	4	False
die	der	DET	ART	nk	Lorentzkraft	NOUN	[]	6	p0	4	False
als	als	ADP	APPR	mo	wirkende	ADJ	[Zentripetalkraft]	6	p0	4	False
Zentripetalkraft	Zentripetalkraft	NOUN	NN	nk	als	ADP	[]	6	p0	4	False
wirkende	wirkend	ADJ	ADJA	nk	Lorentzkraft	NOUN	[als]	6	p0	4	False
Lorentzkraft	Lorentzkraft	NOUN	NN	nk	durch	ADP	[die, wirkende]	6	p0	4	False
festgelegt	festlegen	VERB	VVPP	rc	x-y-Ebene	PROPN	[Radius, durch]	6	p0	4	False
und	und	CCONJ	KON	cd	Halbkreis	NOUN	[ist]	6	p0	4	False
dessen	der	DET	PRELAT	ag	Umlaufszeit	NOUN	[]	6	p0	4	False
Umlaufszeit	Umlaufszeit	NOUN	NN	sb	ist	AUX	[dessen]	6	p0	4	False
unabhängig	unabhängig	ADV	ADJD	pd	ist	AUX	[vom]	6	p0	4	False
vom	von	ADP	APPRART	mo	unabhängig	ADV	[Radius]	6	p0	4	False
Radius	Radius	NOUN	NN	nk	vom	ADP	[]	6	p0	4	False
ist	sein	AUX	VAFIN	cj	und	CCONJ	[Umlaufszeit, unabhängig]	6	p0	4	False
.	--	PUNCT	$.	punct	beschreiben	VERB	[]	6	p0	4	False
